Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
Что такое Unity Collab и для чего он используется?,Это инструмент совместной разработки и управления версиями.,Это компонент для работы с коллизиями и столкновениями объектов на сцене.,Это фреймворк для создания многопользовательских игр.,Это социальная сеть разработчиков Unity3D.,"Unity Collab (ранее известный как Unity Teams) - это инструмент совместной разработки и управления версиями, предоставляемый Unity Technologies. Он используется для упрощения совместной работы над проектами в Unity3D, облегчения управления изменениями и версиями проекта, а также для обеспечения более безопасной и устойчивой разработки.

Основные функциональности:
управление версиями,
совместная разработка,
контроль доступа,
облачное хранилище.",54
Каким образом можно загрузить новый уровень в Unity3D?,С помощью метода LoadScene,Изменением значения переменной level в коде,Копированием файла с уровнем в папку Assets,"Нажатием кнопки ""New Level"" на панели инструментов","Метод SceneManager.LoadScene()  позволяет загрузить новый уровень из сцены. Вы можете передать ему имя или индекс уровня, который нужно загрузить. 
// Загрузить уровень с именем ""Level2""
SceneManager.LoadScene(""Level2"");",54
Какой метод MonoBehaviour выполняется по умолчанию в режиме редактора (Editor mode)?,Reset,OnBecameInvisible,OnAnimatorMove,OnTriggerEnter,"Метод Reset — это метод MonoBehaviour, который по умолчанию запускается в режиме редактора. Этот метод вызывается, когда скрипт прикрепляется к GameObject или сбрасывается в Инспекторе. Он позволяет инициализировать или сбрасывать значения переменных в скрипте, обеспечивая согласованное начальное состояние при работе в редакторе Unity.",55
В чем различие между классом и структурой?,"Классы поддерживают наследование, структуры нет. Объекты класса передаются по ссылке, структуры - по значению.","Классы могут содержать методы, а структуры - только поля.","Классы нужно инициализировать с помощью ключевого слова ""new"", структуры не нужно.","Классы наследуют другие классы, а структуры только другие структуры.","Классы поддерживают наследование. Структуры не поддерживают. Объекты класса передаются по ссылке, изменения, внесенные в один объект, могут повлиять на другие объекты, которые ссылаются на тот же экземпляр. Структуры передаются по значению, каждый экземпляр структуры содержит свою собственную копию данных.
Объекты класса хранятся в куче (heap). Структуры хранятся в стеке (stack) или в куче.
Поля класса могут иметь значение ""null"", если они не инициализированы. Поля структуры всегда должны иметь значение.
В общем случае, работа со структурами может быть более эффективной по производительности.",56
Когда автоматически вызывается метод Reset?,При добавлении компонента к объекту или сбросе его значений в режиме редактирования.,Когда игровой объект перемещается из одной сцены в другую.,Когда сцена стартует или перезапускается.,Когда сцена стартует или перезапускается для деактивированного игрового объекта.,"Метод Reset() автоматически вызывается в Unity для компонентов, когда они добавляются на объект или сбрасываются в значения по умолчанию. Это происходит в следующих случаях:

При добавлении компонента на объект в сцене или в префабе.
При сбросе компонента до значений по умолчанию, что можно сделать через контекстное меню компонента или кнопку ""Reset"" в инспекторе компонента.",56
Явное приведение типа это:,double d = 10.5; int i = (int)d;,int i = 10; double d = i;,"string str = ""10""; int i = int.Parse(str);",double d = 10.5; int i = Convert.ToInt32(d);,"Явное приведение типа (explicit type casting) в C# - это операция, которая позволяет явно изменить тип значения из одного типа в другой. При явном приведении типа разработчик явно указывает, что хочет преобразовать значение из одного типа в другой, даже если такое преобразование потенциально может привести к потере данных или искажению значения.

Явное приведение типа выполняется с помощью оператора приведения (type)expression, где type - тип, в который нужно привести значение, а expression - выражение, которое нужно привести к указанному типу.",57
"В чем состоит ""Принцип открытости/закрытости"" (2 принцип SOLID)?","Классы и модули должны быть открыты для расширения, но закрыты для модификации.",Изменение метода в классе не должно влиять на другие методы в том же классе.,"Классы должны быть открыты для изменений, чтобы обеспечить легкость модификации кода.","Все методы в классе должны быть открыты для переопределения в наследниках, а поля - закрыты.","Принцип открытости/закрытости из SOLID заключается в следующем:
""Программные сущности (классы, модули, функции и т.д.) должны быть открыты для расширения, но закрыты для модификации.""
Это означает, что код должен быть написан таким образом, чтобы добавление новой функциональности не требовало изменения уже существующего кода. Новые возможности должны добавляться через расширение, используя наследование, интерфейсы, композицию и другие техники, не нарушая работу существующих компонентов.",58
Что такое полиморфизм (3 принцип ООП)?,Возможность объектов одного класса использоваться как объекты другого класса с помощью общего интерфейса.,Это возможность создания объектов разных классов из одного абстрактного класса.,Способность объектов взаимодействовать только с объектами своего типа.,Возможность использовать один и тот же объект для разных целей в программе.,"В основе полиморфизма лежит идея, что объекты, имеющие общий интерфейс (например, общие методы), могут быть использованы согласно этому интерфейсу, независимо от их фактического типа. Это позволяет передавать объекты производных классов туда, где ожидается объект базового класса, и вызывать методы наследников, не зная их конкретного типа.",58
В каком формате сохраняет аудиоданные класс Microphone?,Audio clip asset,MP3 file,WAV file,OGG file,"Класс Microphone используется для доступа к микрофону компьютера или мобильного устройства и записи аудио с него. Он позволяет разработчикам создавать приложения, которые могут взаимодействовать с микрофоном, записывать звук, а также анализировать или воспроизводить аудиоданные в реальном времени. Это может быть полезно для создания голосового управления, аудио-игр или аудиоанализа в приложениях и играх.",59
Некоторые типы материалов включают в себя карты нормалей. Зачем нужна карта нормалей?,"Она создает детализацию поверхности на меше: неровности, вмятины и царапины.","Это система детализации, которая постепенно уменьшает количество полигонов по мере того, как камера удаляется.",Она заменяет геометрию для создания высокополигональных объектов.,Она программно уменьшает количество полигонов в мешах.,"Карта нормалей (Normal Map) в компьютерной графике используется для придания плоским или низкополигональным моделям визуального впечатления детализации и объемности. Она является одним из важных типов текстурных карт, используемых в рендеринге 3D-моделей.

В игровой разработке и визуализации карта нормалей позволяет обмануть взгляд зрителя, создавая эффект высокодетализированной поверхности, не добавляя фактически новых полигонов. Вместо этого она использует специальные цветовые данные, которые кодируют информацию о направлении нормалей поверхности каждого пикселя.",60
Что такое Zenject?,Это фреймворк для внедрения зависимостей.,"Это алгоритм сжатия данных, используемый для уменьшения размера файлов в Unity.",Это инструмент для создания сложных математических вычислений и алгоритмов в Unity.,Это библиотека для работы с звуками и аудиоэффектами в Unity.,"Zenject - это фреймворк для управления зависимостями и инъекции зависимостей (Dependency Injection, DI) в Unity. Он предоставляет удобные инструменты для организации структуры проекта и управления зависимостями между компонентами.",60
Какие из нижеперечисленных методов предназначены для создания или удаления объектов в Unity?,Instantiate() и Destroy(),Start() и FixedUpdate(),Update() и LateUpdate(),OnEnable() и OnDisable(),"Instantiate(): Метод принимает параметром префаб (Prefab) - шаблон объекта, который нужно создать, и  дополнительные параметры, такие как позиция и поворот и создает новый экземпляр объекта.

Destroy(): Этот метод используется для удаления игрового объекта со сцены во время игры. Он принимает в качестве параметра ссылку на удаляемый объект и уничтожает его, освобождая память и ресурсы, которые он занимал.",61
Где доступны члены с модификатором  internal?,Внутри того же проекта (сборки).,"Из любого места программы, включая другие классы и пространства имен.",Внутри того же класса и его производных классов (наследников).,"Только внутри того же класса, в котором они объявлены.","internal - это уровень доступа, который ограничивает доступ к членам класса только внутри той сборки, в которой они объявлены. Сборка - это единица компиляции, которая может представлять собой одну библиотеку, исполняемый файл или модуль. Если член класса объявлен с модификатором internal, он может быть использован в любом другом классе, находящемся в той же сборке, но будет недоступен для классов вне этой сборки.",62
Кому нужна функция Collaborate в Unity Teams?,"Членам команды для сохранения, обмена и синхронизации проектов Unity.","Разработчикам, которые вносят изменения в исходный код Unity.","Компаниям, которые собирают деньги на проекты через краудфандинг.",Разработчики используют как систему контроля версий.,"Функция Collaborate в Unity Teams нужна командам разработчиков, чтобы сохранять, совместно использовать и синхронизировать проекты Unity. Это обеспечивает более эффективную работу над проектами в команде, обмен файлами, контроль версий и совместное внесение изменений в проекты.",62
Зачем компонент PlayableDirector?,Управлять воспроизведением временной шкалы в сцене.,Записать игровой сеанс в видеофайл.,Переключаться между различными камерами сцены.,Параллельно запускать несколько функций на разных игровых объектах.,"Компонент PlayableDirector в Unity используется для управления временем и воспроизведения Timeline - это визуальной системы анимации, которая позволяет создавать сложные и интерактивные анимации событий в игре или приложении.

PlayableDirector позволяет проигрывать, останавливать, приостанавливать и переключать Timeline во время выполнения приложения. Это удобно для создания сценариев и кинематографичных моментов, так как вы можете контролировать события и анимацию объектов на сцене через таймлайн и скрипты.",63
Что такое куча и стек?,"Стек - это область памяти, используемая для хранения локальных переменных, а куча - это область динамической памяти для хранения объектов.","Стек - это место, где хранятся объекты и данные, а куча - это область памяти, используемая для выполнения арифметических операций.","Стек - это область памяти, где хранятся данные времени выполнения программы, а куча - место, где хранятся инструкции и код программы.","Стек - это область памяти, где хранятся структуры данных, а куча - это место, где хранятся функции и методы программы.","Куча (heap) и стек (stack) - это две основные области памяти, используемые в программировании, включая C#.

Стек (stack) - это область памяти, где хранятся локальные переменные методов, параметры методов, а также контекст вызова функций. Стек управляется автоматически и используется для хранения данных в порядке ""последний вошел - первый вышел"".
Куча (heap) - это область динамической памяти, где хранятся объекты и данные, которые создаются и управляются во время выполнения программы. В отличие от стека, размер кучи не фиксирован и может изменяться во время выполнения. ",64
"В чем состоит ""Принцип подстановки Барбары Лисков"" (3 принцип SOLID)?",Объекты базовых классов должны быть заменяемыми объектами производных классов.,Производный класс должен быть наследником только одного базового класса.,Все методы базового класса были переопределены в производных классах.,"Классы не могут быть изменены после их создания, чтобы обеспечить их стабильность.","Принцип подстановки Барбары Лисков:
""Объекты базовых классов должны быть заменяемыми объектами своих производных классов, и это не должно влиять на правильность программы.""

Предположим, у нас есть класс Bird с методом Fly(), и от него производные классы Penguin и Sparrow. По принципу LSP, мы должны быть уверены, что вызов метода Fly() на объектах Bird не вызовет ошибок или неожиданных поведений для классов Penguin и Sparrow. Может быть разумно переопределить метод Fly() для Penguin, чтобы он не делал ничего (так как пингвины не летают), но это не должно нарушать работу других частей программы, которые ожидают объекты типа Bird.",64
Что такое статический полиморфизм?,"Механизм, при котором одно и то же имя метода может использоваться для выполнения различных действий(перегрузка).","Механизм, позволяющий создавать новые методы во время выполнения программы.",Используется для выполнения разных действий в зависимости от значения переменной.,"Механизм, обеспечивающий динамическое связывание вызовов методов.","Статический полиморфизм (также известный как перегрузка или компиляционный полиморфизм) - это механизм в программировании, при котором одно и то же имя метода или оператора может использоваться для выполнения различных действий в зависимости от типов аргументов, переданных в метод.

Статический полиморфизм разрешается во время компиляции программы, и компилятор определяет, какой именно метод или оператор должен быть вызван на основе типов аргументов, используемых в вызове функции. Это позволяет перегружать методы или операторы с различными типами параметров и обрабатывать их соответствующим образом.",65
Что такое batching в Unity?,"Это механизм, который позволяет объединить несколько объектов или графических элементов в один draw call.",Это процесс взаимодействия объектов с разными материалами для создания новых эффектов в игре.,"Это техника, которая используется для управления пакетами данных в Unity.",Это метод оптимизации текстур и уровней детализации для улучшения графики в Unity.,"Batching (объединение) в Unity - это процесс, при котором несколько графических элементов объединяются в один, чтобы уменьшить количество draw call и улучшить производительность игры.
Batching помогает оптимизировать производительность игры, особенно при работе с большим количеством объектов на сцене. Однако не все объекты могут быть объединены, и оптимизация требует соблюдения определенных ограничений и правил.",66
Какое утверждение лучше всего описывает функцию Quaternion.Euler?,"Преобразует ориентацию, измеренную в градусах, в кватернион.","Преобразует кватернион в строку, которая хранит его вращение по осям X, Y и Z в градусах.",Преобразует ориентацию из радиан в кватернион.,Он преобразует кватернион в Vector3.,"Метод Quaternion.Euler(x, y, z) в Unity используется для создания кватерниона, представляющего поворот вокруг осей X, Y и Z.

Он принимает три значения в градусах: x, y и z, и возвращает кватернион, который представляет соответствующий поворот. Этот метод удобен для создания кватернионов, когда углы поворота заданы в удобном для разработчика формате в градусах.",66
"Что подразумевается под ""управлением зависимостями""?","Это процесс установления, передачи и управления зависимостями между компонентами программы. ",Это способность обращаться к родительским компонентам и использовать их ресурсы.,Это процесс оценки взаимодействия между различными элементами программы и определения их важности.,Это способность программы автоматически создавать зависимости между компонентами без вмешательства программиста.,"Зависимости - это отношения между различными компонентами, модулями или объектами программы, где один элемент (называемый клиентом или потребителем) требует доступа к другому элементу (называемому сервисом или поставщиком) для выполнения своих задач.
Управление зависимостями - это процесс установления, передачи и управления зависимостями между компонентами программы. Один из способов управления зависимостями - это использование паттернов инъекции зависимостей (Dependency Injection, DI), которые позволяют создавать слабые связи между компонентами и обеспечивают более гибкую структуру программы.",67
Как получить ближайшую сверху к числу number степень двойки в С#?,"double result = Math.Pow(2, Math.Ceiling(Math.Log(number, 2)));","double result = Math.Log(number, 2);","double result = Math.Ceiling(Math.Pow(2, Math.Log(number, 2)));",double result = Math.Log(Math.Pow(Math.Ceiling(number)));,"Math.Pow(base, exponent) - функция, возводящая базу в указанный показатель степени.
Math.Ceiling(value) - функция, округляющая значение вверх до ближайшего целого числа.
Math.Log(number, base) - функция, вычисляющая натуральный логарифм числа по указанному основанию. 
То есть, сначала вычистяем логарифм числа по основанию 2, округляем вверх и возводим 2 в  полученную степень. Полезно при вычислении буферов памяти и при работе с размерами текстур.",68
Что такое асимптотическая сложность алгоритма?,Асимптотическая сложность - это оценка поведения алгоритма по мере увеличения размера входных данных.,"Асимптотическая сложность - это количество операций, выполняемых в алгоритме, независимо от размера входных данных.","Асимптотическая сложность - это точное количество шагов, необходимых для выполнения алгоритма.","Асимптотическая сложность алгоритма - это количество байтов памяти, занимаемых алгоритмом в процессе выполнения.","Асимптотическая сложность позволяет оценить, как быстро растет время выполнения или количество ресурсов, таких как память или процессорное время, потребляемых алгоритмом при увеличении размера входных данных.

Асимптотическая сложность обычно выражается с помощью ""О-большого"" (Big O) нотации. В нотации ""О-большого"" указывается верхняя граница роста алгоритма в зависимости от размера входных данных. Например, если сложность алгоритма оценивается как O(n^2), где n - размер входных данных, это означает, что время выполнения алгоритма будет расти пропорционально квадрату размера входных данных.",68
"В чем состоит ""Принцип разделения интерфейса"" (4 принцип SOLID)?","Много маленьких специализированных интерфейсов лучше, чем один общий интерфейс.",Интерфейс должен содержать как можно больше методов для упрощения кода.,"Каждый интерфейс должны быть реализован одним классом, чтобы избежать дублирования кода.",Все классы должны реализовывать общий интерфейс с обязательными методами.,"Принцип разделения интерфейса:
""Много маленьких специализированных интерфейсов лучше, чем один общий интерфейс.""
Суть этого принципа состоит в том, чтобы разделять большие и сложные интерфейсы на много маленьких и специализированных таким образом, чтобы клиенты могли реализовывать только те методы, которые им действительно необходимы, а не быть принужденными реализовывать лишние методы.",69
Чем абстрактный класс отличается от интерфейса?,"Абстрактный класс может предоставлять реализацию методов и свойств, в то время как интерфейс только определяет сигнатуры.","Абстрактный класс может использоваться для создания экземпляров объектов, в то время как интерфейс не может.","Абстрактный класс может реализовывать несколько интерфейсов, а интерфейс может наследовать только один абстрактный класс.",Абстрактный класс и интерфейс предоставляют одинаковую функциональность и могут использоваться взаимозаменяемо.,"Абстрактный класс может предоставлять реализацию методов и свойств, в то время как интерфейс только определяет сигнатуры методов и свойств, но не предоставляет их реализацию. 
Класс может наследовать только один абстрактный класс, но реализовывать множество интерфейсов. 
Абстрактный класс может предоставлять общую функциональность для классов-наследников и определять базовую структуру и поведение. Интерфейсы определяют только контракты, которые класс должен реализовать, но не предоставляют общей реализации.
Абстрактный класс может быть расширен путем добавления новых методов, свойств и полей, в то время как интерфейс, как правило, не подвержен изменениям, чтобы не нарушать существующие контракты.",70
От чего наследуется MonoBehaviour? ,от класса Behaviour,от класса Class,от класса Object,от класса Component,MonoBehaviour наследуется от класса Behaviour. Класс Behaviour в свою очередь наследуется от класса Component. Component является базовым классом для всех компонентов в Unity.,70
Что такое перегрузка операторов?,Это возможность определить новое поведение операторов для пользовательских типов данных.,Это возможность менять порядок выполнения операций прямо во время выполнения программы.,"Это возможность создавать новые операторы, не связанные с уже существующими.","Это конструкция с  ключевым словом overload, позволяющая выполнять оператор несколько раз подряд.","Перегрузка операторов - это механизм, который позволяет определить специальное поведение операторов при работе с объектами пользовательских классов. Это позволяет использовать стандартные операторы, такие как +, -, *, /, ==, !=, и другие, для объектов пользовательских классов, а также определить свою логику для их работы.
    // Перегрузка оператора сложения
    public static Point operator +(Point p1, Point p2)
    {
        return new Point(p1.X + p2.X, p1.Y + p2.Y);
    }",71
Что такое переполнение стека (stack overflow)?,"Это ситуация, когда стек памяти заполняется больше, чем его максимальная емкость.","Это ошибка, при попытке присвоить значение переменной, которое выходит за пределы диапазона этой переменной.","Это ситуация, когда программе не хватает оперативной памяти для выполнения задач.","Это ошибка, возникающая при попытке доступа к несуществующей памяти или объекту в программе.","Переполнение стека (stack overflow) - это ситуация, когда стек памяти, используемый для хранения локальных переменных, параметров методов и контекста вызова функций, заполняется больше, чем его максимальная емкость. 

Переполнение стека обычно происходит, когда рекурсивная функция вызывает саму себя или когда вложенные функции вызываются слишком глубоко и не освобождаются из стека вовремя. 

При переполнении стека обычно возникает исключение ""StackOverflowException"", которое приводит к прекращению работы программы или аварийному завершению. ",72
Что такое Animation Rigging в Unity?,"Это система для создания и управления сложными анимациями с помощью управляемых костей и контролов.





",Это метод для управления положением объектов в сцене с помощью уравнений кинематики.,Это технология для создания и управления светом в сцене.,Это система для оптимизации и управления ресурсами в проекте.,"Animation Rigging в Unity - это набор инструментов и система, которая позволяет создавать сложные анимации персонажей и объектов с использованием программных контроллеров и управлять костями и мешами для достижения более реалистичных и уникальных движений. Это позволяет аниматорам и разработчикам создавать более динамичные и интересные анимации, а также упрощает процесс анимирования сложных объектов и персонажей.",72
Можно ли хранить разные типы данных в C# в объекте класса System.Array?,"Хранение разных типов данных в массиве возможно, но в виде объектов.",Хранение разных типов данных в массиве приводит к потере точности и ошибкам при доступе к элементам.,System.Array автоматически преобразует все элементы в единый тип данных.,"Нет, в массиве можно хранить только однородные элементы одного типа данных.","System.Array является базовым классом для всех массивов в C# и позволяет хранить элементы различных типов в единственном массиве.
Array myArray = new object[5];
myArray[0] = ""Привет"";
myArray[1] = 10;
myArray[2] = true;
myArray[3] = 3.14;
myArray[4] = DateTime.Now;
Однако, при работе с System.Array следует учитывать, что элементы хранятся в виде объектов, и при доступе к ним может потребоваться явное приведение типа обратно к исходному типу для использования конкретных функций или свойств. ",73
"В чем состоит ""Принцип инверсии зависимостей"" (5 принцип SOLID)?",Высокоуровневые модули не должны зависеть от низкоуровневых модулей. Оба типа модулей должны зависеть от абстракций.,"Высокоуровневые модули должны зависеть от низкоуровневых модулей, абстракции должны зависеть от деталей.","Классы должны зависеть только от конкретных реализаций, а не от абстракций.","Классы должны быть написаны так, чтобы они не могли изменить свое поведение во время выполнения.","Принцип инверсии зависимостей:
Высокоуровневые модули не должны зависеть от низкоуровневых модулей. Оба типа модулей должны зависеть от абстракций.
Абстракции не должны зависеть от деталей. Детали должны зависеть от абстракций.
Предположим, у нас есть класс OrderProcessor, который зависит от класса DatabaseConnection для доступа к базе данных. Если мы хотим использовать другой источник данных, нам придется изменить класс OrderProcessor. Вместо этого, мы можем ввести абстракцию, например, интерфейс IDatabaseConnection, и сделать OrderProcessor зависимым только от этого интерфейса. Теперь мы можем легко заменить DatabaseConnection другой реализацией, не затрагивая OrderProcessor.",74
Для чего обычно используется событие OnAnimatorMove в объектах MonoBehaviour?,Для перехвата и обработки обновлений позиции и вращения анимированного объекта.,Для воспроизведения анимации после ее завершения.,Для синхронизации анимации объекта с текущим временем.,Для обнаружения любого движения объекта.,"Событие OnAnimatorMove в объектах MonoBehaviour обычно используется для перехвата и обработки обновлений позиции и вращения объекта, которые были применены аниматором в кадре. Это позволяет программисту влиять на движение объекта, учитывая анимацию, и добавлять дополнительную логику, связанную с движением и анимацией, в скрипты объекта.",74
Какой фрагмент кода C# постоянно обновляет ось Y?,"transform.Rotate(Vector3.right, RotSpeed * Time.deltaTime);","transform.localRotation *= Quaternion.Euler(0f, RotSpeed * Time.deltaTime, 0f);","transform.RotateAround(Vector3.up, RotSpeed * Time.deltaTime);",transform.SetParent(null);,Метод transform.Rotate в Unity используется для вращения игрового объекта в трехмерном пространстве. Он позволяет изменить ориентацию объекта относительно его текущего положения.,75
