Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
How are negative numbers represented in the computer's memory?,Negative numbers are represented by inverting all the bits of the positive number and adding one to the result.,"When representing negative numbers, an additional bit is used to indicate that the number is negative.","Negative numbers are represented using the decimal numeral system, but with a negative sign, for example, ""-5"".",Negative numbers are represented in computer memory using fractions that reflect their negative value.,"To obtain the binary representation of a negative number, you need to follow these steps:

1. Represent the number as a positive binary number.
2. Invert all the bits of the number (replace 0 with 1 and 1 with 0).
3. Add one to the result of the previous step.

For example, to represent -5 in 8-bit binary form:

1. Represent the positive number 5: 00000101.
2. Invert all the bits: 11111010.
3. Add one: 11111011.

Thus, -5 is represented in computer memory as an 8-bit binary number 11111011.",84
What is a closure in C#?,A closure is a function that remembers and uses the values of variables from its outer scope.,Closure - is the process of encapsulating and protecting access to variables so that they cannot be modified from other parts of the code.,Closure is a special syntax used for creating anonymous methods.,Negative numbers are represented in the computer's memory using fractions that reflect their negative value.,"Closure in C# is a function that captures and holds in memory the values of variables from the outer scope in which it was created, even after that outer scope has finished executing.

public static Func<int, int> CreateMultiplier(int factor)
{
    return x => x * factor;
}
var multiplierBy2 = CreateMultiplier(2);
var result = multiplierBy2(5);

The function CreateMultiplier creates and returns a lambda expression that multiplies the input number by the factor. Each time CreateMultiplier is called, a new closure is created, which remembers the value of the factor and uses it when calling the resulting function multiplierBy2.",85
"What is the difference between the ""finally"" and ""finalize"" keywords?","finally is used in a try-catch block, ""finalize"" is called when an object is being deleted (garbage collected).","`finally` and `finalize` are the same, but one is used with classes, and the other with methods and fields.","finally is called by the garbage collector, finalize is a block that ignores errors and is called in any case.","Finally is used to define the end of a code block, finalize forcibly terminates program execution.","""finally"" is a code block in C# that is used in conjunction with ""try"" and ""catch"" blocks to execute code that should be run regardless of whether an exception occurred or not.

""finalize"" is a method in C# that is called by the garbage collector before the object is finally removed from memory.",86
What is Normal Mapping in Unity?,The process of altering surface normals to create the illusion of additional detail.,Method for optimizing the handling of physical materials in the scene.,Mechanism for detecting collisions between objects in the game scene.,A method for optimizing the use of GPU resources during scene rendering.,"""Normal Mapping in Unity is a technique used to add additional detail and realism to the surfaces of objects without altering their geometry. It allows for visually complex and textured objects without increasing the number of polygons, which positively impacts performance.

The Normal Mapping technique is based on the use of textures called Normal Maps, which contain information about the normals (surface directions) for each pixel of the object. These normals are used to determine how light interacts with the surface, creating the illusion of bumps and indentations.""",86
Cinemachine offers tools for creating gameplay behavior. What component creates spline-based trajectories for moving objects?,Cinemachine Smooth Path,Cinemachine Target Group.,Cinemachine Free Look.,Cinemachine Brain,"The Cinemachine Smooth Path component is used to create smooth paths (trajectories) for moving objects in Unity. It allows for easily defining complex motion paths for cameras or other game objects using splines, which enhances animation and visual experience in the game.",87
What is Reflection in C#?,Reflection - is a mechanism that allows analyzing and modifying its structure and behavior during runtime.,Reflection - is a technology that allows a program to track and record changes in the database.,Reflection is a mechanism that automatically refactors code to improve its performance and readability.,"Reflection is the process of creating reflections on the surface of objects in three-dimensional space, taking into account the normals.","Reflection in C# is a mechanism that allows a program to analyze, extract information about types, and interact with them at runtime. With Reflection, you can access metadata of types, such as fields, properties, methods, constructors, attributes, and other type details.

Reflection enables dynamically creating instances of types, invoking their methods, setting and getting property values, analyzing and modifying the structure of types based on metadata during program execution.",88
Why does Dictionary work faster than List?,Dictionary is faster due to the use of hash tables to store data.,"Dictionary is faster because it uses a ""magic"" search algorithm that executes instantly.",Dictionaries are faster due to modern and efficient algorithms for comparing elements.,"Dictionary is faster because its elements are automatically sorted by keys, which simplifies searching.","In Dictionary, each element is stored as a key-value pair. It uses a hash table for efficient access to elements by their keys. The hash table allows performing add, remove, and search operations in constant time (O(1)), on average.

Accessing elements in List is done by index. When searching for an element in List, a linear search is required, examining each element until the desired index is found. This takes time proportional to the size of the list, which is O(n), where n is the number of elements in the list.",88
"What is a ""Graphics Pass"" in the context of the Scriptable Render Pipeline (SRP) in Unity?","A ""draw call"" is a step in the process of rendering objects on the screen.",Method for transferring data between CPU and GPU.,Mechanism for combining various assets into a single bundle.,A technology for memory management and resource optimization.,"A Graphics Pass in the context of the Scriptable Render Pipeline (SRP) in Unity is one of the stages in the process of rendering objects on the screen. SRP allows developers to have more flexible control over the rendering process by breaking it down into separate passes, each of which performs specific operations on graphics data.

Each Graphics Pass executes specific steps of data processing, such as applying shaders, setting up materials, calculating lighting, writing results to frame buffers, and so on. Each pass defines its order of operations and can be used for rendering specific types of objects or applying certain effects.",89
Which C# attribute allows running a class and its methods inside the editor in editing mode?,[ExecuteAlways],"[Range(0,10)]",[Live],[Editor],"The [ExecuteAlways] attribute is applied to methods in MonoBehaviour classes in Unity. It indicates that the method should be executed both in Editor mode and Play mode. This attribute is useful when you want a specific method to work both in the Editor and during gameplay, which can simplify game development and testing.

The main purpose of the [ExecuteAlways] attribute is to provide access to editor functions and methods during the game development process, allowing you to see the results of changes in the scene in both the editor and the game.",90
What is Scriptable Render Pipeline (SRP) in Unity and what is it used for?,This is a method of working with rendering in Unity to create custom rendering solutions.,This is a tool for managing dependencies in Unity projects.,This is a special system for managing asynchronous code in Unity.,This is a Unity component that allows creating complex animations.,"Scriptable Render Pipeline (SRP) is a new approach to rendering in Unity that allows developers to create custom rendering solutions. It provides flexibility and control over the rendering process, enabling performance optimization and achieving high-quality visual effects.

The application of SRP is particularly relevant for large projects that require a high degree of optimization and scalability. It also simplifies development for different platforms since you can create separate rendering solutions for mobile devices, desktops, and consoles.",90
What is the difference between Lambda and Expression in C#?,Lambda - a compact syntax for anonymous functions. Expression - an object model for representing the logical structure of expressions.,Lambda - for creating functions with a fixed set of parameters. Expression allows working with a variable number of parameters.,"Lambda is used for functional programming, while Expression is used for object-oriented programming.",Lambda and Expression are two different ways of creating anonymous functions in C#.,"Lambda is a shortened and compact form of writing anonymous functions in C#. They allow creating functions ""on the fly"" without explicitly defining the function name.
Func<int, int, int> addNumbers = (x, y) => x + y;
Expression is part of the Expression Tree system in C#. They allow representing expression logic as an object model, making them available for dynamic modification and execution during program runtime.
ParameterExpression x = Expression.Parameter(typeof(int), ""x"");
ParameterExpression y = Expression.Parameter(typeof(int), ""y"");
BinaryExpression sum = Expression.Add(x, y);",91
What is Jobs System in Unity?,This is a system for managing tasks in the background and optimizing performance.,This is a system for creating and managing the work of developers in Unity.,This is a component that allows you to control the process of resource loading in the game.,This is a technology for creating and managing various tasks in the Unity editor.,The Jobs System in Unity is a system for performing parallel computations on multi-core processors. It allows distributing computational tasks among multiple threads to increase performance and enhance the efficiency of the application.,92
The search field in the project window can filter the display of assets using text commands. Which command will display only textures?,"T:texture stands for ""Texture.""", T:mesh, T:scripts,Show textures,"For the Unity search window, there are several commands that allow filtering the display of assets:

""t:Type"" - displays assets of the specified type. For example, ""t:Prefab"" will show only prefabs.
""l:Label"" - displays assets with the specified label.
""b:BuildSettings"" - displays assets related to build settings.
""d:Script"" - displays scripts.
""n:Name"" - displays assets whose names contain the specified text.
""p:Package"" - displays assets from the specified package.
""a:AnimationClip"" - displays animation clips.
""s:Shader"" - displays shaders.",92
What is Shadow mapping in Unity?,Technique for visualizing shadows of objects in the scene.,Shadow-casting collision detection method.,Algorithm for optimizing rendering with shadows.,A method for controlling light and its interaction with objects.,Shadow mapping in Unity is a technique used to generate shadows in 3D scenes. It is used to achieve the visual effect of projecting shadows from a light source onto objects in the scene. It is applied to achieve realism in visualization since shadows play a crucial role in perceiving the volume and depth of the surrounding world.,93
What is Light Probe Proxy Volume (LPPV) in Unity?,This is a Unity component used to control lighting and scattered light in dynamic scenes.,This is a special type of collider that allows objects to interact with surrounding light probes.,This is a tool for creating photorealistic reflections on objects.,This is a Unity function that allows creating and controlling the animation of light sources.,"Light Probe Proxy Volume (LPPV) in Unity is a component used to enhance the lighting quality in scenes with dynamic objects and moving characters.

LPPV allows reducing the number of light probes used in the scene while maintaining high lighting quality. It is used for performance optimization and reducing the load on the graphics processor.

LPPV enables smooth transitions between different lighting zones and enhances the realism of rendered scenes. This component is particularly useful for large and complex scenes with diverse light sources.",94
What is Post-Processing Stack in Unity?,This is a post-processing stack used to add various camera effects. ,This is a tool for creating post-processing audio effects in the game.,"This is a technology for creating and configuring physical effects, such as explosions and smoke.",This is a system for creating and managing artificial lighting in the game.,"Post-Processing Stack в Unity is a package of tools designed for adding and configuring post-processing effects to the graphics in a game. It allows applying various effects after the rendering process, such as color correction, blur, depth of field, and others, to enhance the visual perception of the game.",94
What is occlusion culling in Unity and how does it improve performance?,This is a method of optimizing the rendering of objects behind the scenes that are not visible from the current camera.,This is an animation optimization method in Unity.,This is a Unity component for working with artificial intelligence.,This is a tool for creating custom shaders in Unity.,"Occlusion Culling в Unity is a rendering optimization technique that allows excluding objects from rendering if they are occluded by other objects and not visible from the current camera.

The result of applying occlusion culling is a reduction in the number of rendered objects, which reduces CPU and GPU overhead, as well as increases frame rates and overall project performance. This is especially relevant for large scenes with many complex objects, such as in 3D games or simulations.",95
Unity automatically attaches the SkinnedMeshRenderer component to some meshes when they are added to the scene. Why does this happen?,The mesh file contains bones and skeletal animation.,The game object has an animator component.,Object - a character controlled by the player.,The mesh file contains a humanoid character.,"SkinnedMeshRenderer is a component in Unity used for displaying and animating 3D models that have skeletal animation. It is used for rendering skinned meshes.

A skinned mesh is a 3D model composed of vertices that are linked to bones using weights. The bones form a skeleton, and each vertex can be attached to one or multiple bones. The weights determine how much each vertex will move along with its corresponding bone. This allows for creating realistic and flexible animations for characters, animals, and other skinned objects.",96
What is IK (Inverse Kinematics) in Unity?,This is a technique for creating realistic animation of object movements in the scene.,This is a component that allows creating and controlling particle systems in the game.,This is an alternative method of visualizing game objects using special materials.,This is an algorithm for optimizing the handling of physical materials in the game.,"Inverse Kinematics in Unity is a methodology for modeling the motion of objects in such a way that the desired position and orientation of a specific point (or points) on the object are achieved by changing the parameters of the joints or articulations of the model. The main idea of inverse kinematics is to determine the angle values required to reach the desired position and orientation, based on the known position and orientation of the end points of the object.",96
What is Addressable Assets System in Unity?,This is a system for organizing and managing resources that allows them to be dynamically loaded in the project.,This is a Unity component for working with a database.,This is a system for packaging resources into a single file to simplify their distribution.,This is a tool for working with the file system and paths in Unity.,"With the Addressable Assets System, developers can create addressable resources that have unique identifiers (addresses).
Key features of AAS:
Dynamic loading: Resources can be loaded and unloaded as needed.
Flexibility: Resource addresses can be changed and updated without modifying the code.
Automatic memory management: AAS automatically handles unloading of unused resources.
Localization: Resources can be easily localized by replacing addressable assets with corresponding localized versions.
Version management: AAS provides the ability to manage resource versions.",97
What is Burst Compiler?,This is a technology for generating highly efficient native code from C# methods to improve performance.,This is a tool for creating visual effects and shaders in Unity.,This is a plugin that allows developers to share their projects and resources with other teams in Unity.,This is a tool for quickly creating complex animations and transitions between object states in Unity.,"The Burst Compiler is a technology in Unity that enables generating highly efficient native code for specific C# or C#.NET methods, particularly for use with Unity Job System. It allows optimizing computations and speeding up code execution by utilizing specialized optimizations and multi-threading capabilities.

It's important to note that the Burst Compiler cannot be used for all methods; only those that meet certain restrictions and conditions can be optimized. It is typically used in conjunction with Unity Job System and Unity DOTS to achieve high performance in game projects.",98
"What is ""deferred rendering"" and ""forward rendering"" in Unity?",Algorithms for computing lighting and applying shaders.,Various camera settings to create different effects.,Optimization methods to reduce the number of object renderings.,Mechanisms for handling collisions and object collisions.,"Forward Rendering:
For each object in the scene, a separate pass is made for all light sources and materials to generate the final image on the screen.

Deferred Rendering:
For each object in the scene, a separate pass is made to gather information about its properties.
Then, a separate pass is made to calculate the lighting based on the gathered data, reducing the number of passes compared to forward rendering.
Deferred rendering works well with a large number of light sources and objects, making it preferable for large and complex scenes.
On the other hand, forward rendering is simple and efficient for small scenes and devices with limited capabilities.",98
